REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 1,2012,40,0.542445,0.584562,100,50,,133,24,15,322,159,55084
HHS Regions,Region 2,2012,40,0.965571,1.29308,605,274,,540,89,62,1570,313,121416
HHS Regions,Region 3,2012,40,1.07028,1.09395,321,356,,522,105,49,1353,222,123680
HHS Regions,Region 4,2012,40,1.11705,1.12711,481,244,,672,111,41,1549,353,137431
HHS Regions,Region 5,2012,40,1.0259,1.19206,367,160,,447,81,45,1100,270,92277
HHS Regions,Region 6,2012,40,1.92793,2.07659,417,344,,652,100,45,1558,151,75027
HHS Regions,Region 7,2012,40,1.09049,1.10339,73,57,,81,20,23,254,85,23020
HHS Regions,Region 8,2012,40,0.777279,0.828528,97,93,,181,27,23,421,116,50813
HHS Regions,Region 9,2012,40,1.81284,1.38434,279,206,,416,138,103,1142,210,82494
HHS Regions,Region 10,2012,40,0.572692,0.698332,33,30,,47,7,9,126,53,18043
HHS Regions,Region 1,2012,41,0.56065,0.609454,108,30,,113,29,15,295,158,48404
HHS Regions,Region 2,2012,41,1.21767,1.44604,634,309,,625,114,52,1734,315,119914
HHS Regions,Region 3,2012,41,1.08926,1.18534,372,347,,535,121,60,1435,217,121062
HHS Regions,Region 4,2012,41,1.20971,1.2729,496,314,,727,86,59,1682,343,132139
HHS Regions,Region 5,2012,41,0.970531,1.18175,385,167,,450,60,65,1127,272,95367
HHS Regions,Region 6,2012,41,2.23852,2.32587,485,420,,766,147,76,1894,166,81432
HHS Regions,Region 7,2012,41,1.06337,1.12241,68,57,,97,9,24,255,88,22719
HHS Regions,Region 8,2012,41,0.796538,0.852966,112,70,,202,38,15,437,118,51233
HHS Regions,Region 9,2012,41,1.94226,1.45988,261,213,,452,128,113,1167,211,79938
HHS Regions,Region 10,2012,41,0.674099,0.74362,39,30,,40,13,10,132,52,17751
HHS Regions,Region 1,2012,42,0.755333,0.77839,158,60,,162,29,29,438,162,56270
HHS Regions,Region 2,2012,42,1.30435,1.53639,754,308,,687,111,61,1921,320,125033
HHS Regions,Region 3,2012,42,1.13473,1.18788,382,312,,594,113,55,1456,221,122571
